,단어,빈도
118,가뭄으로,3
119,가벼운,2
120,가볍게,1
121,가봤으면,1
122,가상,7
123,가상공간,1
124,가상공간에서,1
125,가상공간이나,1
126,가상사설망,1
127,가상세계인,1
128,가상으로,1
129,가상의,1
130,가상자산,17
131,가상자산시장이,1
132,가상자산업계에,1
133,가상자산에,1
134,가상자산이,1
135,가상자산이다,1
136,가상자산특위,1
137,가상통화,4
138,가상통화가,2
139,가상통화는,1
140,가상통화도,1
141,가상통화를,2
142,가상화폐,13
143,가상화폐거래소,1
144,가상화폐와,2
145,가상화폐인,1
146,가서,2
147,가설을,1
148,가성비,3
149,가성비를,1
150,가속도가,1
151,가속하면서,1
152,가속화시킨,2
153,가수,1
154,가스류,1
155,가시화하면서,1
156,가압시스템,1
157,가야만,3
158,가요계,1
159,가요계의,1
160,가용,1
161,가용성,1
162,가을에,2
163,가이드라인은,1
164,가이드라인을,3
165,가이드를,2
166,가입을,2
167,가입자,4
168,가입자가,1
169,가입자를,2
170,가입자수,1
171,가입하면,1
172,가입한,2
173,가입할,3
174,가입했다,1
175,가자,1
176,가전,2
177,가전기업들이,1
178,가전업체들의,1
179,가전의,1
180,가전이,1
181,가전이나,1
182,가전제품의,1
183,가정,4
184,가정아래,1
185,가정에서,1
186,가정용,1
187,가정은,1
188,가정을,1
189,가정의,2
190,가정할,1
191,가져가고자,1
192,가져다,1
193,가져다줄,1
194,가져오는,1
195,가져온,2
196,가져올,2
197,가져와서,1
198,가져왔다,1
199,가져왔습니다,1
200,가졌는데,1
201,가졌다,5
202,가졌다는,1
203,가족,3
204,가족간의,1
205,가족에게도,1
206,가족은,1
207,가족을,2
208,가족의,1
209,가중시켰다는,1
210,가중케,1
211,가지로,5
212,가지를,3
213,가지만,1
214,가지이다,1
215,가지이며,1
216,가진다,1
217,가질,4
218,가치,11
219,가치가,9
220,가치는,1
221,가치를,23
222,가치사슬,1
223,가치와,2
224,가치의,2
225,가치창출,2
226,가치창출과,2
227,가칭,2
228,가할,1
229,가해지는,1
230,각각의,1
231,각계,1
232,각광받고,1
233,각광받는,1
234,각국,1
235,각국에,1
236,각국이,2
237,각기,2
238,각도를,1
239,각오다,1
240,각오와,1
241,각인돼,1
242,각자의,1
243,각축전,1
244,간,30
245,간간이,1
246,간격을,2
247,간격이,1
248,간극을,1
249,간다,1
250,간단,1
251,간단하게,2
252,간단하고,1
253,간단한,3
254,간담회를,3
255,간담회에는,1
256,간담회에서,1
257,간담회에서는,1
258,간사로,1
259,간섭이,1
260,간소화에,1
261,간소화하면서,1
262,간의,5
263,간절하게,1
264,간절함과,1
265,간절함도,1
266,간절히,2
267,간접,1
268,간편한,1
269,간헐성,1
270,간혹,1
271,갈,4
272,갈등과,2
273,갈등을,1
274,갈무리,6
275,감당하기,1
276,감당합니다,1
277,감도라든지,1
278,감독이,1
279,감동시키기,1
280,감면,1
281,감복하도록,1
282,감사,1
283,감사는,1
284,감사담당관,1
285,감사드린다,1
286,감사를,1
287,감사하다,1
288,감상할,1
289,감소,2
290,감소가,1
291,감소는,1
292,감소로,1
293,감소뿐,1
294,감소시켜,1
295,감소시킬,1
296,감소하고,1
297,감소하는,3
298,감소하면서,1
299,감소한,2
300,감소한다,1
301,감소할,3
302,감소했다,4
303,감시,1
304,감시할,1
305,감안하더라도,1
306,감안하면,2
307,감안한,1
308,감안해,3
309,감염,2
310,감염병,1
311,감염성,3
312,감염에,1
313,감염자의,1
314,감영병,1
315,감전의,1
316,감정,1
317,감정이,2
318,감지,3
319,감지기,1
320,감지기가,1
321,감지는,1
322,감지됐다,1
323,감지됐다고,1
324,감지되면,1
325,감지된,3
326,감지센서,2
327,감지하는,1
328,감지하면,1
329,감지해,2
330,감천,1
331,감축되고,1
332,감축하기로,1
333,감축하는,1
334,갑,1
335,갑니다,2
336,갑인,1
337,갑자기,5
338,값,1
339,값도,1
340,값에,1
341,값을,4
342,값이,4
343,값이라도,1
344,갓녀,1
345,갔다가,1
346,갔다는,1
347,강,10
348,강경,2
349,강경래,2
350,강경주,1
351,강과,1
352,강국을,1
353,강국이,1
354,강나훔,4
355,강남,1
356,강다니엘,1
357,강대현,1
358,강도는,1
359,강도림,1
360,강력하게,1
361,강력한,5
362,강력해진,1
363,강민구,6
364,강민혜,1
365,강사로,1
366,강성주,2
367,강성후,2
368,강소연구개발특구,1
369,강수,4
370,강수량,1
371,강수량도,1
372,강수량은,1
373,강수량을,1
374,강수량이,1
375,강수를,1
376,강수확률,3
377,강수확률은,4
378,강약약강,1
379,강연,4
380,강연과,1
381,강연도,1
382,강연에,1
383,강연에서,1
384,강연은,2
385,강연을,5
386,강연의,2
387,강연이,2
388,강연자들이,1
389,강연하고,1
390,강연했다,2
391,강연했던,2
392,강우량과,1
393,강우량에,1
394,강원,2
395,강원기,2
396,강으로,1
397,강은,1
398,강의,2
399,강의를,4
400,강의할,1
401,강자,1
402,강자에게,1
403,강점으로,2
404,강점이다,1
405,강정희,1
406,강조,1
407,강조하고,2
408,강조하는,3
409,강조하며,4
410,강조한,3
411,강조할,1
412,강조해,1
413,강조했는데요,1
414,강조했다,26
415,강조했습니다,1
416,강조했으나,1
417,강풍,9
418,강풍과,2
419,강풍으로,2
420,강풍은,1
421,강풍이,17
422,강하게,2
423,강하기는,1
424,강하다는,1
425,강하지는,1
426,강한,24
427,강해,2
428,강해서,1
429,강해수,1
430,강해질,1
431,강형욱,1
432,강호성,1
433,강화,5
434,강화가,2
435,강화도,1
436,강화되어,2
437,강화되었다,1
438,강화된,5
439,강화된다,1
440,강화됩니다,1
441,강화를,4
442,강화석,1
443,강화에,2
444,강화에도,1
445,강화와,1
446,강화유리로,1
447,강화하고,3
448,강화하기,4
449,강화하길,1
450,강화하는,1
451,강화하면,1
452,강화하면서,1
453,강화한다,2
454,강화한다는,2
455,강화할,4
456,강화함으로써,1
457,강화해,6
458,강화해왔다고,1
459,강화했고,1
460,강화했다,2
461,강화했다고,1
462,강화했다는,1
463,갖게,1
464,갖기도,1
465,갖는,2
466,갖추겠다,1
467,갖추고,4
468,갖춘,11
469,갖춰,1
470,갖춰야,4
471,갖췄다,4
472,갖췄다고,1
473,같고,2
474,같고요,1
475,같다는,1
476,같습니다,10
477,같아,1
478,같아서,1
479,같아요,10
480,같은데,3
481,같지만,3
482,개가,7
483,개강식을,1
484,개국에,1
485,개국에서,1
486,개국으로,1
487,개국이다,1
488,개까지,2
489,개념,1
490,개념도,2
491,개념으로,2
492,개념을,4
493,개념의,1
494,개념이,3
495,개념이기,1
496,개념이다,2
497,개념이라서,1
498,개념적,1
499,개다,2
500,개당,3
501,개도국,1
502,개런티,1
503,개런티하지,1
504,개로,1
505,개를,3
506,개막,1
507,개막식,1
508,개막식에서,1
509,개막식은,1
510,개막식을,1
511,개막하는,1
512,개막한,3
513,개미들은,3
514,개발,58
515,개발과,3
516,개발됐다,4
517,개발됐지만,1
518,개발되는,2
519,개발된,5
520,개발부장,2
521,개발사,6
522,개발사는,1
523,개발사업본부장은,1
524,개발사업에,1
525,개발사에,1
526,개발사와,1
527,개발사의,1
528,개발사인,1
529,개발업체,1
530,개발업체가,1
531,개발에,7
532,개발에는,1
533,개발에도,1
534,개발은,3
535,개발을,18
536,개발이,3
537,개발자,6
538,개발자가,3
539,개발자나,1
540,개발자들에게,2
541,개발자들의,3
542,개발자들이,2
543,개발자로,1
544,개발자를,1
545,개발자의,1
546,개발자인,1
547,개발적인,1
548,개발진은,1
549,개발팀은,1
550,개발팀이었지만,1
551,개발하고,6
552,개발하기,1
553,개발하기로,1
554,개발하는,6
555,개발하다,1
556,개발하여,1
557,개발한,18
558,개발한다,2
559,개발한다고,1
560,개발할,1
561,개발해,12
562,개발해도,1
563,개발해야,2
564,개발해온,1
565,개발했고,1
566,개발했다,6
567,개발했다고,2
568,개발했습니다,2
569,개발했지만,1
570,개방형,1
571,개별,1
572,개별로,1
573,개별적으로,3
574,개별적인,1
575,개봉영화,1
576,개봉한,2
577,개사,4
578,개사까지,1
579,개사로,1
580,개사를,2
581,개사와,1
582,개선,14
583,개선과,2
584,개선도,1
585,개선됐다,6
586,개선되고,1
587,개선되는,1
588,개선되어,1
589,개선될,5
590,개선안과,1
591,개선안이,1
592,개선에,2
593,개선에도,1
594,개선으로,1
595,개선은,1
596,개선을,3
597,개선이,5
598,개선점도,1
599,개선하겠다는,1
600,개선하고,2
601,개선하기,3
602,개선하는,2
603,개선하도록,1
604,개선하여,1
605,개선하자,1
606,개선한,1
607,개선한다,1
608,개선해,3
609,개선했다,4
610,개설,1
611,개설이,1
612,개설하면,1
613,개설했다,1
614,개성을,1
615,개소에,1
616,개수에,1
617,개시,1
618,개시했다,1
619,개씩,1
620,개에,3
621,개월,11
622,개월간,6
623,개월만에,3
624,개월만의,1
625,개월만인,1
626,개월에,1
627,개월에서,1
628,개월여,1
629,개월이,1
630,개의,18
631,개인,14
632,개인방송,1
633,개인으로서,1
634,개인으로서는,1
635,개인은,1
636,개인의,1
637,개인이,3
638,개인적으론,1
639,개인적인,1
640,개인전,1
641,개인전을,1
642,개인정보,2
643,개인투자자들이,1
644,개인화,2
645,개정안에,1
646,개찰일자,1
647,개찰한다,1
648,개척해,1
649,개척해야,1
650,개척활동,1
651,개최,3
652,개최되는,1
653,개최된,1
654,개최된다,2
655,개최될,1
656,개최를,1
657,개최하고,3
658,개최하는,3
659,개최한,6
660,개최한다,2
661,개최한다고,1
662,개최해,9
663,개최해온,1
664,개최해왔으나,1
665,개최했다,3
666,개최했다고,5
667,개최했습니다,1
668,개최했으며,1
669,개통,1
670,개통된다,1
671,개통하고,1
672,개통한,1
673,개팀이,1
674,개편,1
675,개편됐다,2
676,개편된다,1
677,개편을,3
678,개편하고,1
679,개편한다,1
680,개편할,2
681,개편해,2
682,객관적,1
683,객관적인,3
684,객체,1
685,갤,1
686,갤러리,2
687,갤러리에,1
688,갤럭시,80
689,갤럭시노트,13
690,갤럭시버디,1
691,갤럭시워치,9
692,갯벌,2
693,갯벌에,4
694,갯벌에서,1
695,거겠죠,2
696,거고요,1
697,거기서,1
698,거기에,3
699,거기에서,1
700,거는,1
701,거대,3
702,거대공공연구정책관,3
703,거대한,6
704,거두고,1
705,거두기가,1
706,거두는,3
707,거둘,2
708,거둡니다,1
709,거둬,1
710,거뒀다,5
711,거뒀다는,1
712,거뒀습니다마는,1
713,거듭나기,1
714,거듭하고,1
715,거듭했다,2
716,거듭했지만,1
717,거라,1
718,거라고,5
719,거라는,3
720,거란,3
721,거래,21
722,거래가,1
723,거래는,2
724,거래되는지,1
725,거래되며,1
726,거래된,2
727,거래로도,1
728,거래를,5
729,거래소,2
730,거래소가,6
731,거래소는,2
732,거래소들이,3
733,거래소를,3
734,거래소마다,2
735,거래소에,1
736,거래소에서,1
737,거래소에서는,1
738,거래소의,1
739,거래소인,1
740,거래액,1
741,거래에서,1
742,거래에서조차도,1
743,거래에선,1
744,거래일동안,1
745,거래지원을,1
746,거래할,1
747,거로,2
748,거론되거나,1
749,거론하는,1
750,거론할,1
751,거리,2
752,거리가,2
753,거리는,2
754,거리두기가,1
755,거리를,6
756,거리에,1
757,거리와,2
758,거리인,1
759,거머쥔,1
760,거버넌스,1
761,거버넌스위원회,3
762,거부,1
763,거세게,1
764,거세서,1
765,거세지고,1
766,거세질,1
767,거센,2
768,거슬리는,1
769,거슬린다는,1
770,거시경제의,1
771,거예요,1
772,거장들의,1
773,거장의,1
774,거점,1
775,거죠,8
776,거주시설을,1
777,거주지를,3
778,거쳐,6
779,거쳐서,1
780,거쳐야,5
781,거쳐야한다,1
782,거쳤다,1
783,거쳤습니다,1
784,거치게,1
785,거치고,1
786,거치는,1
787,거치는데요,1
788,거치면,1
789,거친,2
790,거친다,1
791,거친다는,1
792,거칩니다,1
793,거품이,2
794,걱정,1
795,걱정도,1
796,걱정되는,1
797,걱정이,1
798,걱정할,1
799,걱정해서,1
800,건가요,7
801,건강,4
802,건강기능식품,1
803,건강상태로,1
804,건강을,1
805,건강한,7
806,건너,1
807,건너가,1
808,건너간,1
809,건데,3
810,건데요,3
811,건만,1
812,건물,2
813,건물등기부,1
814,건물에,2
815,건물을,1
816,건물의,1
817,건물주,1
818,건설,9
819,건설공사,1
820,건설기계,1
821,건설기계나,1
822,건설부터,1
823,건설사는,2
824,건설업계,1
825,건설업계는,3
826,건설업계에,1
827,건설업계의,2
828,건설업으로,1
829,건설하고,1
830,건설하는,2
831,건설한다,1
832,건설현장,1
833,건설현장도,1
834,건설현장의,1
835,건수를,1
836,건씩,1
837,건에,2
838,건으로,8
839,건을,2
840,건의,2
841,건의하는,1
842,건이,1
843,건이다,1
844,건자재용,1
845,건조기,3
846,건조기는,1
847,건조기를,1
848,건지,7
849,건축,5
850,건축물,1
851,걷기가,1
852,걷는,1
853,걷잡을,2
854,걸,10
855,걸고,3
856,걸그룹,1
857,걸까요,1
858,걸려,4
859,걸렸다,1
860,걸렸습니다,1
861,걸로,3
862,걸리기,1
863,걸리는,4
864,걸리지,1
865,걸린,4
866,걸린다고,2
867,걸릴,10
868,걸림돌로,1
869,걸맞게,1
870,걸맞는,1
871,걸맞은,2
872,걸어,2
873,걸어가야,1
874,걸어놓았고,1
875,걸어다니며,1
876,걸어야,1
877,걸음걸이,1
878,걸음으로,1
879,걸쳐,13
880,걸쳐서,2
881,걸친,3
882,검사상,2
883,검색,3
884,검색어,1
885,검색하면,1
886,검색해,14
887,검수까지,2
888,검은,2
889,검은마법사,1
890,검은마법사와,1
891,검은색,5
892,검은색을,2
893,검은색의,1
894,검증,2
895,검증기관에,1
896,검증까지,2
897,검증까지는,1
898,검증도,1
899,검증된,3
900,검증을,3
901,검증정책,6
902,검증제도란,1
903,검증제도에,1
904,검증하게,1
905,검증하는,5
906,검증한,1
907,검증해,2
908,검증해야,1
909,검지,2
910,검진,1
911,검찰,1
912,검찰은,1
913,검찰이,1
914,검출됐다고,1
915,검토,7
916,검토가,1
917,검토도,1
918,검토를,8
919,검토키로,1
920,검토하고,1
921,검토하기로,13
922,검토한,15
923,검토할,3
924,검토해,2
925,검토해야,1
926,검토해요,1
927,검토했다,2
928,검토했습니다,1
929,겁니까,1
930,겁니다,12
931,것과,7
932,것도,26
933,것들은,1
934,것들을,1
935,것들이,1
936,것들이다,1
937,것만,1
938,것만으로도,1
939,것만큼,1
940,것에,4
941,것에는,2
942,것이고,2
943,것이기,1
944,것이니,2
945,것이라,4
946,것이라고,12
947,것이라는,21
948,것이란,7
949,것이며,1
950,것이었는지가,1
951,것이지,1
952,것이지만,1
953,것이지요,1
954,것인데,3
955,것인데요,1
956,것인지에,1
957,것일까요,1
958,것입니다,15
959,것처럼,8
960,겉모습은,1
961,게시가,1
962,게시글은,1
963,게시한다,1
964,게이머,1
965,게이머가,1
966,게이머들,1
967,게이머들로부터,3
968,게이머들을,1
969,게이머들의,3
970,게이머의,1
971,게이밍,3
972,게이밍은,1
973,게이밍을,1
974,게이츠가,1
975,게이트,1
976,게이트웨이,3
977,게이트웨이라는,1
978,게일,1
979,게임,86
980,게임과,3
981,게임과는,2
982,게임기,2
983,게임기업의,1
984,게임당,1
985,게임도,2
986,게임동아,4
987,게임들에,1
988,게임들을,2
989,게임들의,1
990,게임들이,1
991,게임들처럼,1
992,게임만큼,1
993,게임문화가,1
994,게임문화의,1
995,게임사,4
996,게임사가,1
997,게임사들과,1
998,게임사들은,4
999,게임사들이,2
1000,게임사로서,1
1001,게임사에서도,1
1002,게임산업에,1
1003,게임산업의,2
1004,게임성과,1
1005,게임소통방법,1
1006,게임소통학교,2
1007,게임소통학교는,2
1008,게임업계,3
1009,게임업계에,2
1010,게임업계에서,1
1011,게임에,11
1012,게임에서,3
1013,게임에서도,1
1014,게임으로,6
1015,게임으로는,1
1016,게임은,6
1017,게임을,20
1018,게임의,10
1019,게임이,2
1020,게임이나,5
1021,게임이다,5
1022,게임이라는,1
1023,게임인,3
1024,게임즈,2
1025,게임즈의,2
1026,게임진,1
1027,게임참가와,1
1028,게임플랫폼,1
1029,게임플랫폼으로서의,1
1030,게임학부,1
1031,게재되기,1
1032,게재된,1
1033,게재될,1
1034,게재하며,1
1035,게재했다,1
1036,겨냥,2
1037,겨냥한,2
1038,겨냥해,1
1039,겨냥했다,1
1040,겨루며,1
1041,격납고,3
1042,격려하고,1
1043,격이다,1
1044,격차,2
1045,격차가,1
1046,격화할,1
1047,겪고,4
1048,겪는,1
1049,겪어,3
1050,겪었다,1
1051,겪었습니다,1
1052,겪을,2
1053,견디도록,1
1054,견딜,1
1055,견적,2
1056,견적을,1
1057,견제,1
1058,견해다,1
1059,견해차로,1
1060,결과가,2
1061,결과는,2
1062,결과다,2
1063,결과대로,1
1064,결과로,3
1065,결과를,15
1066,결과만을,1
1067,결과물로,1
1068,결과물을,1
1069,결과물이기도,1
1070,결과에,1
1071,결과에서는,1
1072,결과에서도,2
1073,결과와,1
1074,결과입니다,2
1075,결과적으로,1
1076,결렬에,1
1077,결론을,22
1078,결론이,1
1079,결론적으로,1
1080,결론지었다고,1
1081,결말은,1
1082,결산,1
1083,결선으로,1
1084,결선을,1
1085,결성,1
1086,결승은,1
1087,결승전은,1
1088,결승전의,1
1089,결승전이,1
1090,결심을,1
1091,결심하게,1
1092,결의대회를,1
1093,결정,3
1094,결정됐다,1
1095,결정되면,2
1096,결정되지,1
1097,결정된,5
1098,결정된다,3
1099,결정된다고밖에,1
1100,결정된다면,1
1101,결정될,3
1102,결정성,1
1103,결정에,1
1104,결정으로,1
1105,결정은,2
1106,결정을,19
1107,결정이,7
1108,결정이다,1
1109,결정이라는,1
1110,결정적인,4
1111,결정짓는,1
1112,결정키로,1
1113,결정하겠다고,1
1114,결정하기,2
1115,결정하기도,1
1116,결정하기로,4
1117,결정하는,2
1118,결정한,3
1119,결정한다는,2
1120,결정할,13
1121,결정함에,1
1122,결정합니다,1
1123,결정해,1
1124,결정해야,2
1125,결정했고,1
1126,결정했다,3
1127,결정했다고,1
1128,결정했습니다,3
1129,결제,7
1130,결제가,1
1131,결제금액을,1
1132,결제로,1
1133,결제를,4
1134,결제창에,1
1135,결제하고,1
1136,결착,1
1137,결코,2
1138,결투다,1
1139,결품이,1
1140,결함,1
1141,결함으로,1
1142,결합,5
1143,결합과,1
1144,결합까지,1
1145,결합돼,1
1146,결합된,1
1147,결합을,6
1148,결합체,1
1149,결합한,5
1150,결합해,4
1151,결혼,3
1152,결혼이야기,1
1153,결혼한다,1
1154,결혼해,1
1155,겸,3
1156,겸임교수,1
1157,겸허한,1
1158,겹쳐,1
1159,겹치고,1
1160,겹치기,1
1161,겹치는,1
1162,겹치면서,1
1163,겹호재를,1
1164,경계가,1
1165,경계하면서,2
1166,경계현,1
1167,경고,3
1168,경고를,2
1169,경고했다,1
1170,경기,13
1171,경기가,1
1172,경기는,2
1173,경기대,1
1174,경기도,2
1175,경기둔화,1
1176,경기를,1
1177,경기의,1
1178,경기장,1
1179,경기지역본부,1
1180,경기창조혁신센터,1
1181,경남,4
1182,경남지역본부,1
1183,경남테크노파크,1
1184,경량,1
1185,경력자가,1
1186,경로까지,1
1187,경로를,2
1188,경로에,1
1189,경매,14
1190,경매거래,1
1191,경매는,2
1192,경매를,1
1193,경매사가,1
1194,경매에,2
1195,경매와,1
1196,경보가,2
1197,경보제,1
1198,경북,1
1199,경북대로부터,1
1200,경비,1
1201,경비함정,5
1202,경사가,1
1203,경사궤도,1
1204,경상국립대,3
1205,경상국립대가,1
1206,경상국립대는,1
1207,경상국립대학교,1
1208,경상북도교육청,1
1209,경샤우화,3
1210,경성대,3
1211,경영,7
1212,경영관리실,1
1213,경영권,1
1214,경영기획담당,2
1215,경영기획총괄,1
1216,경영기획총괄사장에,1
1217,경영대학에서,1
1218,경영상,3
1219,경영상의,2
1220,경영을,1
1221,경영의,2
1222,경영이,1
1223,경영이다,1
1224,경영정보,3
1225,경영정보관련,1
1226,경영정보시스템,1
1227,경영정보학회,1
1228,경영진단을,1
1229,경영진들과,2
1230,경영진들이,1
1231,경영진을,2
1232,경영진이,1
1233,경영학,2
1234,경영환경이,1
1235,경우가,12
1236,경우도,1
1237,경우를,1
1238,경우에,1
1239,경우에는,4
1240,경우에도,3
1241,경우엔,2
1242,경우입니다,1
1243,경쟁,6
1244,경쟁관계,1
1245,경쟁관계에,1
1246,경쟁금지,5
1247,경쟁도,1
1248,경쟁력,6
1249,경쟁력도,2
1250,경쟁력으로,1
1251,경쟁력을,8
1252,경쟁력이,3
1253,경쟁사,2
1254,경쟁사들이,2
1255,경쟁사로,1
1256,경쟁에서,1
1257,경쟁우위,1
1258,경쟁으로,1
1259,경쟁은,1
1260,경쟁을,3
1261,경쟁이,2
1262,경쟁체제로,1
1263,경쟁하고,1
1264,경쟁할,1
1265,경제,8
1266,경제가,1
1267,경제를,4
1268,경제모델을,1
1269,경제산업성과,1
1270,경제성이,1
1271,경제성장을,1
1272,경제수명이,1
1273,경제시스템을,1
1274,경제안보,2
1275,경제안보의,1
1276,경제적,2
1277,경제적이기까지,1
1278,경제적인,1
1279,경제정보,8
1280,경제지,1
1281,경주마를,1
1282,경중에,1
1283,경진대회가,2
1284,경찰,1
1285,경찰서,1
1286,경찰청전라남도경찰청,1
1287,경품으로,1
1288,경품이,1
1289,경향닷컴,15
1290,경향신문,15
1291,경향을,1
1292,경향이,1
1293,경험,4
1294,경험은,1
1295,경험의,1
1296,경험이,7
1297,경험치,3
1298,경험치를,2
1299,경험하는,1
1300,경험한,1
1301,경험할,2
1302,곁에,1
1303,계,1
1304,계기가,4
1305,계기는,1
1306,계기다,1
1307,계기로,5
1308,계단,3
1309,계단식,1
1310,계산과학,2
1311,계산된,1
1312,계산할,1
1313,계산해,1
1314,계속,33
1315,계속되던,1
1316,계속되며,1
1317,계속되면,1
1318,계속되면서,1
1319,계속될,1
1320,계속하고,1
1321,계속할,1
1322,계속해,1
1323,계속해가다,1
1324,계속해서,4
1325,계승받는,1
1326,계승한,1
1327,계시는,1
1328,계신,1
1329,계신데,1
1330,계약,4
1331,계약도,1
1332,계약방법,1
1333,계약서,2
1334,계약서가,2
1335,계약서는,2
1336,계약서도,1
1337,계약서를,1
1338,계약서에,1
1339,계약서이자,1
1340,계약을,2
1341,계약학과를,1
1342,계열,1
1343,계열사에도,1
1344,계열사인,1
1345,계열의,2
1346,계열인,1
1347,계절적,1
1348,계정,19
1349,계정간,1
1350,계정과,1
1351,계정은,1
1352,계정을,4
1353,계정이,3
1354,계좌를,1
1355,계측이,1
1356,계측하는,2
1357,계측한,1
1358,계층,1
1359,계획,23
1360,계획대로,6
1361,계획대로라면,2
1362,계획됐던,2
1363,계획되어,1
1364,계획된,4
1365,계획보다,3
1366,계획에,1
1367,계획은,2
1368,계획을,15
1369,계획이,3
1370,계획이다,33
1371,계획이라고,3
1372,계획이라면,1
1373,계획이며,2
1374,계획이었다,4
1375,계획이었으나,1
1376,계획입니다,4
1377,계획정보가,1
1378,계획정보와,2
1379,계획정보의,1
1380,계획하지,1
1381,계획한,1
1382,고가,1
1383,고가의,2
1384,고갈되고,1
1385,고강도,2
1386,고객,7
1387,고객님의,1
1388,고객들에게,1
1389,고객들이,1
1390,고객사로,1
1391,고객서비스,1
1392,고객센터,2
1393,고객센터에,1
1394,고객에게,6
1395,고객에게는,1
1396,고객은,7
1397,고객을,2
1398,고객의,2
1399,고객이,7
1400,고객이나,1
1401,고경력,1
1402,고관여층,1
1403,고광본,1
1404,고교,1
1405,고군분투한,1
1406,고급,1
1407,고급차를,1
1408,고대하고,2
1409,고도,5
1410,고도로,2
1411,고도인,1
1412,고도화,7
1413,고도화된,1
1414,고도화될,1
1415,고도화를,2
1416,고도화와,1
1417,고도화하고,1
1418,고도화하기,1
1419,고도화하는,1
1420,고도화할,1
1421,고도화함으로써,1
1422,고도화해,1
1423,고등법원에서,1
1424,고등학교,1
1425,고등학생,1
1426,고딕풍의,1
1427,고래들은,1
1428,고려대,13
1429,고려대학교,1
1430,고려됐습니다,1
1431,고려하고,1
1432,고려하는,1
1433,고려한,2
1434,고려할,3
1435,고려해,6
1436,고려해볼,1
1437,고려해야,3
1438,고려해요,2
1439,고려했을,1
1440,고령인구가,1
1441,고령화가,2
1442,고루,1
1443,고릴라,1
1444,고립됐다,1
1445,고립된,1
1446,고마워,1
1447,고맙습니다,2
1448,고민되는,1
1449,고민을,2
1450,고민이,5
1451,고민하고,1
1452,고민하는,1
1453,고민한,1
1454,고민해야,1
1455,고밀도,1
1456,고발로,1
1457,고불고불하고,1
1458,고빈도,1
1459,고산,1
1460,고성능,5
1461,고성능과,1
1462,고성능의,1
1463,고셔병,1
1464,고셔병은,1
1465,고셔세포가,1
1466,고셔세포라고,1
1467,고소,1
1468,고소당하면서,1
1469,고소작업에,1
1470,고속,2
1471,고속단정,2
1472,고속철도,2
1473,고속충전,1
1474,고안됐다,1
1475,고안한,2
1476,고안했다,1
1477,고양이,1
1478,고양하고,1
1479,고에너지,1
1480,고연색,6
1481,고온,1
1482,고용,1
1483,고용량,2
1484,고용을,1
1485,고용준,2
1486,고용해야,1
1487,고위공무원,1
1488,고위험,1
1489,고유의,1
1490,고인은,1
1491,고인의,3
1492,고장나,1
1493,고전압,1
1494,고전파,1
1495,고전하게,1
1496,고점,1
1497,고정,12
1498,고정돼있는,1
1499,고정됐던,1
1500,고정된,1
1501,고정된다,2
1502,고정불변이었지만,1
1503,고정시켜주자,1
1504,고정시키는,1
1505,고정용,3
1506,고정은,1
1507,고정이,2
1508,고정장치,1
1509,고정하는,6
1510,고정한다,1
1511,고정해,1
1512,고정환,19
1513,고조되고,2
1514,고주사율,1
1515,고준,2
1516,고지,2
1517,고지대여서,1
1518,고지대인데,2
